date_ad,index_value,absolute_change,percentage_change
2015-01-01,903.68,1.35,0.15
2015-01-04,917.50,13.82,1.53
2015-01-05,919.77,2.27,0.25
2015-01-06,917.41,-2.36,-0.26
2015-01-07,924.54,7.13,0.78
2015-01-08,930.97,6.43,0.70
2015-01-11,928.33,-2.64,-0.28
2015-01-12,927.80,-0.53,-0.06
2015-01-13,937.48,9.68,1.04
2015-01-14,939.53,2.05,0.22
2015-01-18,945.36,5.83,0.62
2015-01-19,975.45,30.09,3.18
2015-01-20,962.80,-12.65,-1.30
2015-01-22,959.24,-3.56,-0.37
2015-01-25,969.05,9.81,1.02
2015-01-26,968.63,-0.42,-0.04
2015-01-27,975.14,6.51,0.67
2015-01-28,988.07,12.93,1.33
2015-01-29,986.66,-1.41,-0.14
2015-02-01,991.44,4.78,0.48
2015-02-02,990.76,-0.68,-0.07
2015-02-03,987.55,-3.21,-0.32
2015-02-04,987.03,-0.52,-0.05
2015-02-05,984.22,-2.81,-0.28
2015-02-08,986.02,1.80,0.18
2015-02-09,980.70,-5.32,-0.54
2015-02-10,980.54,-0.16,-0.02
2015-02-11,981.01,0.47,0.05
2015-02-12,984.51,3.50,0.36
2015-02-15,989.87,5.36,0.54
2015-02-16,987.05,-2.82,-0.28
2015-02-18,982.65,-4.40,-0.45
2015-02-22,971.47,-11.18,-1.14
2015-02-23,973.95,2.48,0.26
2015-02-24,970.77,-3.18,-0.33
2015-02-25,970.62,-0.15,-0.02
2015-02-26,979.27,8.65,0.89
2015-03-01,975.67,-3.60,-0.37
2015-03-02,984.85,9.18,0.94
2015-03-03,981.42,-3.43,-0.35
2015-03-04,983.49,2.07,0.21
2015-03-09,988.77,5.28,0.54
2015-03-10,984.43,-4.34,-0.44
2015-03-11,984.06,-0.37,-0.04
2015-03-12,978.44,-5.62,-0.57
2015-03-15,970.68,-7.76,-0.79
2015-03-16,959.14,-11.54,-1.19
2015-03-17,963.46,4.32,0.45
2015-03-18,964.24,0.78,0.08
2015-03-19,967.62,3.38,0.35
2015-03-22,964.12,-3.50,-0.36
2015-03-23,956.59,-7.53,-0.78
2015-03-24,953.84,-2.75,-0.29
2015-03-25,951.29,-2.55,-0.27
2015-03-26,942.40,-8.89,-0.93
2015-03-29,942.30,-0.10,-0.01
2015-03-30,939.10,-3.20,-0.34
2015-03-31,945.74,6.64,0.71
2015-04-01,939.54,-6.20,-0.66
2015-04-02,940.09,0.55,0.06
2015-04-05,934.25,-5.84,-0.62
2015-04-06,938.12,3.87,0.41
2015-04-07,935.53,-2.59,-0.28
2015-04-08,942.15,6.62,0.71
2015-04-09,946.89,4.74,0.50
2015-04-12,952.03,5.14,0.54
2015-04-13,948.36,-3.67,-0.39
2015-04-15,944.13,-4.23,-0.45
2015-04-16,949.92,5.79,0.61
2015-04-19,945.70,-4.22,-0.44
2015-04-20,944.98,-0.72,-0.08
2015-04-21,945.12,0.14,0.01
2015-04-22,942.02,-3.10,-0.33
2015-04-23,938.19,-3.83,-0.41
2015-05-24,909.82,-28.37,-3.02
2015-05-25,880.53,-29.29,-3.22
2015-05-26,859.97,-20.56,-2.33
2015-05-27,837.83,-22.14,-2.57
2015-05-28,841.96,4.13,0.49
2015-05-31,871.94,29.98,3.56
2015-06-01,890.43,18.49,2.12
2015-06-02,901.98,11.55,1.30
2015-06-04,926.84,1.35,0.15
2015-06-07,931.17,4.33,0.47
2015-06-08,945.49,14.32,1.54
2015-06-09,966.59,21.10,2.23
2015-06-10,955.66,-10.93,-1.13
2015-06-11,937.96,-17.70,-1.85
2015-06-14,928.35,-9.61,-1.02
2015-06-15,933.73,5.38,0.58
2015-06-16,930.70,-3.03,-0.32
2015-06-17,927.85,-2.85,-0.31
2015-06-18,924.60,-3.25,-0.35
2015-06-21,917.97,-6.63,-0.72
2015-06-22,922.47,4.50,0.49
2015-06-23,926.09,3.62,0.39
2015-06-24,928.13,2.04,0.22
2015-06-25,930.38,2.25,0.24
2015-06-28,938.00,7.62,0.82
2015-06-29,946.33,8.33,0.89
2015-06-30,949.13,2.80,0.30
2015-07-01,945.78,-3.35,-0.35
2015-07-02,938.96,-6.82,-0.72
2015-07-05,938.02,-0.94,-0.10
2015-07-06,936.76,-1.26,-0.13
2015-07-07,941.36,4.60,0.49
2015-07-08,943.16,1.80,0.19
2015-07-09,943.43,0.27,0.03
2015-07-12,944.96,1.53,0.16
2015-07-13,944.00,-0.96,-0.10
2015-07-14,946.46,2.46,0.26
2015-07-15,950.72,4.26,0.45
2015-07-16,961.23,10.51,1.11
2015-07-22,963.27,2.04,0.21
2015-07-23,1003.38,40.11,4.16
2015-07-26,1053.95,50.57,5.04
2015-07-27,1046.40,-7.55,-0.72
2015-07-28,1028.14,-18.26,-1.75
2015-07-29,1021.33,-6.81,-0.66
2015-07-30,1027.98,6.65,0.65
2015-08-03,1030.40,-3.74,-0.36
2015-08-04,1029.92,-0.48,-0.05
2015-08-06,1040.36,6.34,0.61
2015-08-09,1063.41,23.05,2.22
2015-08-10,1081.36,17.95,1.69
2015-08-11,1077.78,-3.58,-0.33
2015-08-12,1077.19,-0.59,-0.05
2015-08-13,1088.42,11.23,1.04
2015-08-16,1112.05,23.63,2.17
2015-08-17,1157.60,45.55,4.10
2015-08-18,1159.93,2.33,0.20
2015-08-19,1191.92,31.99,2.76
2015-08-20,1200.92,9.00,0.76
2015-08-23,1184.67,-16.25,-1.35
2015-08-24,1181.75,-2.92,-0.25
2015-08-25,1181.41,-0.34,-0.03
2015-08-26,1175.57,-5.84,-0.49
2015-08-27,1183.76,8.19,0.70
2015-08-31,1200.15,16.39,1.38
2015-09-01,1191.34,-8.81,-0.73
2015-09-02,1176.26,-15.08,-1.27
2015-09-03,1169.40,-6.86,-0.58
2015-09-06,1166.69,-2.71,-0.23
2015-09-07,1170.97,4.28,0.37
2015-09-08,1174.69,3.72,0.32
2015-09-09,1173.16,-1.53,-0.13
2015-09-10,1168.71,-4.45,-0.38
2015-09-13,1183.93,15.22,1.30
2015-09-14,1194.11,10.18,0.86
2015-09-15,1205.84,11.73,0.98
2015-09-16,1202.81,-3.03,-0.25
2015-09-17,1196.02,-6.79,-0.56
2015-09-22,1156.08,-39.94,-3.34
2015-09-23,1183.36,27.28,2.36
2015-09-24,1176.86,-6.50,-0.55
2015-09-28,1160.09,-16.77,-1.43
2015-09-29,1169.30,9.21,0.79
2015-09-30,1181.28,11.98,1.02
2015-10-01,1178.74,-2.54,-0.22
2015-10-04,1183.48,4.74,0.40
2015-10-05,1171.27,-12.21,-1.03
2015-10-06,1158.79,-12.48,-1.07
2015-10-07,1149.45,-9.34,-0.81
2015-10-08,1162.06,12.61,1.10
2015-10-11,1143.88,-18.18,-1.56
2015-10-14,1135.09,-8.79,-0.77
2015-10-15,1134.47,-0.62,-0.05
2015-10-18,1119.83,-14.64,-1.29
2015-10-19,1127.42,7.59,0.68
2015-10-25,1121.05,-6.37,-0.56
2015-10-27,1091.73,-29.32,-2.62
2015-10-28,1084.37,-7.36,-0.67
2015-10-29,1092.04,7.67,0.71
2015-11-01,1088.30,-3.74,-0.34
2015-11-02,1091.83,3.53,0.32
2015-11-03,1086.20,-5.63,-0.52
2015-11-04,1092.30,6.43,0.59
2015-11-05,1090.68,-1.62,-0.15
2015-11-08,1086.57,-4.11,-0.38
2015-11-09,1107.43,20.86,1.92
2015-11-10,1109.29,1.86,0.17
2015-11-15,1100.09,-9.20,-0.83
2015-11-16,1094.18,-5.91,-0.54
2015-11-18,1099.25,5.07,0.46
2015-11-19,1094.57,-4.68,-0.43
2015-11-22,1071.38,-23.19,-2.12
2015-11-23,1075.80,4.42,0.41
2015-11-24,1066.69,-9.11,-0.85
2015-11-25,1056.42,-10.27,-0.96
2015-11-26,1044.01,-12.41,-1.17
2015-11-29,1022.77,-21.24,-2.03
2015-11-30,1034.12,11.35,1.11
2015-12-01,1066.38,32.26,3.12
2015-12-02,1062.78,-3.60,-0.34
2015-12-03,1072.94,10.16,0.96
2015-12-06,1102.84,29.90,2.79
2015-12-07,1107.94,5.10,0.46
2015-12-08,1107.23,-0.71,-0.06
2015-12-09,1122.79,15.56,1.41
2015-12-10,1119.35,-3.44,-0.31
2015-12-13,1118.57,-0.78,-0.07
2015-12-14,1120.18,1.61,0.14
2015-12-15,1121.02,0.84,0.07
2015-12-16,1116.19,-4.83,-0.43
2015-12-17,1110.68,-5.51,-0.49
2015-12-20,1118.95,8.27,0.74
2015-12-21,1131.52,12.57,1.12
2015-12-22,1138.18,6.66,0.59
2015-12-23,1133.34,-4.84,-0.43
2015-12-24,1137.03,3.69,0.33
2015-12-27,1135.47,-1.56,-0.14
2015-12-28,1131.95,-3.52,-0.31
2015-12-29,1142.17,10.22,0.90
2015-12-31,1151.38,9.21,0.81
2016-01-03,1160.84,9.46,0.82
2016-01-04,1154.62,-6.22,-0.54
2016-01-05,1146.77,-7.85,-0.68
2016-01-06,1149.89,3.12,0.27
2016-01-07,1164.14,14.25,1.24
2016-01-10,1167.18,3.04,0.26
2016-01-11,1168.81,1.63,0.14
2016-01-12,1173.60,4.79,0.41
2016-01-13,1180.98,7.38,0.63
2016-01-14,1190.16,9.18,0.78
2016-01-17,1209.67,19.51,1.64
2016-01-18,1214.31,2.31,0.19
2016-01-19,1213.71,-0.60,-0.05
2016-01-20,1213.57,-0.14,-0.01
2016-01-21,1212.32,-1.25,-0.10
2016-01-24,1219.62,7.30,0.60
2016-01-25,1222.43,2.81,0.23
2016-01-26,1218.39,-4.04,-0.33
2016-01-27,1216.96,-1.43,-0.12
2016-01-28,1216.11,-0.85,-0.07
2016-01-31,1220.70,4.59,0.38
2016-02-01,1238.02,17.32,1.42
2016-02-02,1240.07,2.05,0.17
2016-02-03,1242.13,2.06,0.17
