Date,Open,High,Low,Close,Change,Percent_Change,Turnover
2010-01-03,546.88,546.88,546.88,546.88,0.00,0.00,0.00
2010-01-04,543.20,543.20,543.20,543.20,0.00,0.00,0.00
2010-01-05,536.18,536.18,536.18,536.18,0.00,0.00,0.00
2010-01-06,536.63,536.63,536.63,536.63,0.00,0.00,0.00
2010-01-07,535.81,535.81,535.81,535.81,0.00,0.00,0.00
2010-01-10,535.41,535.41,535.41,535.41,0.00,0.00,0.00
2010-01-11,534.34,534.34,534.34,534.34,0.00,0.00,0.00
2010-01-12,532.26,532.26,532.26,532.26,0.00,0.00,0.00
2010-01-13,530.81,530.81,530.81,530.81,0.00,0.00,0.00
2010-01-14,530.96,530.96,530.96,530.96,0.00,0.00,0.00
2010-01-17,527.22,527.22,527.22,527.22,0.00,0.00,0.00
2010-01-18,524.61,524.61,524.61,524.61,0.00,0.00,0.00
2010-01-19,522.05,522.05,522.05,522.05,0.00,0.00,0.00
2010-01-20,520.19,520.19,520.19,520.19,0.00,0.00,0.00
2010-01-21,518.11,518.11,518.11,518.11,0.00,0.00,0.00
2010-01-24,516.77,516.77,516.77,516.77,0.00,0.00,0.00
2010-01-25,516.79,516.79,516.79,516.79,0.00,0.00,0.00
2010-01-26,513.71,513.71,513.71,513.71,0.00,0.00,0.00
2010-01-27,511.70,511.70,511.70,511.70,0.00,0.00,0.00
2010-01-28,515.24,515.24,515.24,515.24,0.00,0.00,0.00
2010-01-31,512.34,512.34,512.34,512.34,0.00,0.00,0.00
2010-02-01,510.10,510.10,510.10,510.10,0.00,0.00,0.00
2010-02-02,507.02,507.02,507.02,507.02,0.00,0.00,0.00
2010-02-03,503.56,503.56,503.56,503.56,0.00,0.00,0.00
2010-02-04,501.18,501.18,501.18,501.18,0.00,0.00,0.00
2010-02-07,496.27,496.27,496.27,496.27,0.00,0.00,0.00
2010-02-08,489.40,489.40,489.40,489.40,0.00,0.00,0.00
2010-02-09,477.67,477.67,477.67,477.67,0.00,0.00,0.00
2010-02-10,492.88,492.88,492.88,492.88,0.00,0.00,0.00
2010-02-11,497.24,497.24,497.24,497.24,0.00,0.00,0.00
2010-02-15,492.62,492.62,492.62,492.62,0.00,0.00,0.00
2010-02-16,486.82,486.82,486.82,486.82,0.00,0.00,0.00
2010-02-17,485.82,485.82,485.82,485.82,0.00,0.00,0.00
2010-02-18,485.14,485.14,485.14,485.14,0.00,0.00,0.00
2010-03-01,497.96,497.96,497.96,497.96,0.00,0.00,0.00
2010-03-02,502.81,502.81,502.81,502.81,0.00,0.00,0.00
2010-03-03,517.00,517.00,517.00,517.00,0.00,0.00,0.00
2010-03-04,508.26,508.26,508.26,508.26,0.00,0.00,0.00
2010-03-07,504.27,504.27,504.27,504.27,0.00,0.00,0.00
2010-03-09,500.71,500.71,500.71,500.71,0.00,0.00,0.00
2010-03-10,489.42,489.42,489.42,489.42,0.00,0.00,0.00
2010-03-11,486.14,486.14,486.14,486.14,0.00,0.00,0.00
2010-03-14,481.19,481.19,481.19,481.19,0.00,0.00,0.00
2010-03-16,480.49,480.49,480.49,480.49,0.00,0.00,0.00
2010-03-17,478.17,478.17,478.17,478.17,0.00,0.00,0.00
2010-03-18,475.61,475.61,475.61,475.61,0.00,0.00,0.00
2010-03-22,472.82,472.82,472.82,472.82,0.00,0.00,0.00
2010-03-23,468.86,468.86,468.86,468.86,0.00,0.00,0.00
2010-03-25,466.09,466.09,466.09,466.09,0.00,0.00,0.00
2010-03-28,463.10,463.10,463.10,463.10,0.00,0.00,0.00
2010-03-29,454.54,454.54,454.54,454.54,0.00,0.00,0.00
2010-03-30,443.97,443.97,443.97,443.97,0.00,0.00,0.00
2010-03-31,443.17,443.17,443.17,443.17,0.00,0.00,0.00
2010-04-01,452.46,452.46,452.46,452.46,0.00,0.00,0.00
2010-04-04,458.13,458.13,458.13,458.13,0.00,0.00,0.00
2010-04-05,455.08,455.08,455.08,455.08,0.00,0.00,0.00
2010-04-06,449.27,449.27,449.27,449.27,0.00,0.00,0.00
2010-04-07,443.89,443.89,443.89,443.89,0.00,0.00,0.00
2010-04-08,446.03,446.03,446.03,446.03,0.00,0.00,0.00
2010-04-11,443.54,443.54,443.54,443.54,0.00,0.00,0.00
2010-04-12,443.66,443.66,443.66,443.66,0.00,0.00,0.00
2010-04-13,443.54,443.54,443.54,443.54,0.00,0.00,0.00
2010-04-15,449.38,449.38,449.38,449.38,0.00,0.00,0.00
2010-04-18,446.05,446.05,446.05,446.05,0.00,0.00,0.00
2010-04-19,441.98,441.98,441.98,441.98,0.00,0.00,0.00
2010-04-20,438.64,438.64,438.64,438.64,0.00,0.00,0.00
2010-04-21,426.42,426.42,426.42,426.42,0.00,0.00,0.00
2010-04-22,426.57,426.57,426.57,426.57,0.00,0.00,0.00
2010-04-25,423.41,423.41,423.41,423.41,0.00,0.00,0.00
2010-04-26,415.47,415.47,415.47,415.47,0.00,0.00,0.00
2010-04-27,408.19,408.19,408.19,408.19,0.00,0.00,0.00
2010-04-28,405.45,405.45,405.45,405.45,0.00,0.00,0.00
2010-04-29,419.03,419.03,419.03,419.03,0.00,0.00,0.00
2010-05-09,413.98,413.98,413.98,413.98,0.00,0.00,0.00
2010-05-10,418.77,418.77,418.77,418.77,0.00,0.00,0.00
2010-05-11,429.59,429.59,429.59,429.59,0.00,0.00,0.00
2010-05-12,448.98,448.98,448.98,448.98,0.00,0.00,0.00
2010-05-13,456.04,456.04,456.04,456.04,0.00,0.00,0.00
2010-05-16,440.49,440.49,440.49,440.49,0.00,0.00,0.00
2010-05-17,440.34,440.34,440.34,440.34,0.00,0.00,0.00
2010-05-18,448.29,448.29,448.29,448.29,0.00,0.00,0.00
2010-05-19,453.84,453.84,453.84,453.84,0.00,0.00,0.00
2010-05-20,461.94,461.94,461.94,461.94,0.00,0.00,0.00
2010-05-23,462.57,462.57,462.57,462.57,0.00,0.00,0.00
2010-05-24,462.63,462.63,462.63,462.63,0.00,0.00,0.00
2010-05-25,482.44,482.44,482.44,482.44,0.00,0.00,0.00
2010-05-26,478.97,478.97,478.97,478.97,0.00,0.00,0.00
2010-05-30,506.35,506.35,506.35,506.35,0.00,0.00,0.00
2010-05-31,490.08,490.08,490.08,490.08,0.00,0.00,0.00
2010-06-01,479.98,479.98,479.98,479.98,0.00,0.00,0.00
2010-06-02,480.48,480.48,480.48,480.48,0.00,0.00,0.00
2010-06-03,481.69,481.69,481.69,481.69,0.00,0.00,0.00
2010-06-06,478.29,478.29,478.29,478.29,0.00,0.00,0.00
2010-06-07,478.49,478.49,478.49,478.49,0.00,0.00,0.00
2010-06-08,482.76,482.76,482.76,482.76,0.00,0.00,0.00
2010-06-09,486.60,486.60,486.60,486.60,0.00,0.00,0.00
2010-06-10,484.78,484.78,484.78,484.78,0.00,0.00,0.00
2010-06-13,482.12,482.12,482.12,482.12,0.00,0.00,0.00
2010-06-14,476.69,476.69,476.69,476.69,0.00,0.00,0.00
2010-06-15,476.00,476.00,476.00,476.00,0.00,0.00,0.00
2010-06-16,475.15,475.15,475.15,475.15,0.00,0.00,0.00
2010-06-17,474.63,474.63,474.63,474.63,0.00,0.00,0.00
2010-06-20,474.99,474.99,474.99,474.99,0.00,0.00,0.00
2010-06-21,468.61,468.61,468.61,468.61,0.00,0.00,0.00
2010-06-22,470.72,470.72,470.72,470.72,0.00,0.00,0.00
2010-06-23,467.60,467.60,467.60,467.60,0.00,0.00,0.00
2010-06-24,463.51,463.51,463.51,463.51,0.00,0.00,0.00
2010-06-28,459.79,459.79,459.79,459.79,0.00,0.00,0.00
2010-06-29,455.69,455.69,455.69,455.69,0.00,0.00,0.00
2010-06-30,455.75,455.75,455.75,455.75,0.00,0.00,0.00
2010-07-01,470.10,470.10,470.10,470.10,0.00,0.00,0.00
2010-07-04,464.69,464.69,464.69,464.69,0.00,0.00,0.00
2010-07-05,460.70,460.70,460.70,460.70,0.00,0.00,0.00
2010-07-06,463.24,463.24,463.24,463.24,0.00,0.00,0.00
2010-07-07,461.87,461.87,461.87,461.87,0.00,0.00,0.00
2010-07-08,459.52,459.52,459.52,459.52,0.00,0.00,0.00
2010-07-11,457.78,457.78,457.78,457.78,0.00,0.00,0.00
2010-07-12,461.62,461.62,461.62,461.62,0.00,0.00,0.00
2010-07-13,464.54,464.54,464.54,464.54,0.00,0.00,0.00
2010-07-14,467.10,467.10,467.10,467.10,0.00,0.00,0.00
2010-07-15,477.73,477.73,477.73,477.73,0.00,0.00,0.00
2010-07-18,468.18,468.18,468.18,468.18,0.00,0.00,0.00
2010-07-19,466.30,466.30,466.30,466.30,0.00,0.00,0.00
2010-07-20,468.86,468.86,468.86,468.86,0.00,0.00,0.00
2010-07-21,471.14,471.14,471.14,471.14,0.00,0.00,0.00
2010-07-22,469.34,469.34,469.34,469.34,0.00,0.00,0.00
2010-07-25,463.96,463.96,463.96,463.96,0.00,0.00,0.00
2010-07-26,461.65,461.65,461.65,461.65,0.00,0.00,0.00
2010-07-27,460.55,460.55,460.55,460.55,0.00,0.00,0.00
2010-07-28,459.79,459.79,459.79,459.79,0.00,0.00,0.00
2010-07-29,461.63,461.63,461.63,461.63,0.00,0.00,0.00
2010-08-01,462.48,462.48,462.48,462.48,0.00,0.00,0.00
2010-08-02,460.20,460.20,460.20,460.20,0.00,0.00,0.00
2010-08-03,460.02,460.02,460.02,460.02,0.00,0.00,0.00
2010-08-04,460.89,460.89,460.89,460.89,0.00,0.00,0.00
2010-08-05,458.86,458.86,458.86,458.86,0.00,0.00,0.00
2010-08-08,460.22,460.22,460.22,460.22,0.00,0.00,0.00
2010-08-09,457.36,457.36,457.36,457.36,0.00,0.00,0.00
2010-08-10,455.71,455.71,455.71,455.71,0.00,0.00,0.00
2010-08-11,456.17,456.17,456.17,456.17,0.00,0.00,0.00
2010-08-12,454.68,454.68,454.68,454.68,0.00,0.00,0.00
2010-08-15,454.24,454.24,454.24,454.24,0.00,0.00,0.00
2010-08-16,453.40,453.40,453.40,453.40,0.00,0.00,0.00
2010-08-17,447.17,447.17,447.17,447.17,0.00,0.00,0.00
2010-08-18,442.74,442.74,442.74,442.74,0.00,0.00,0.00
2010-08-19,442.05,442.05,442.05,442.05,0.00,0.00,0.00
2010-08-22,431.15,431.15,431.15,431.15,0.00,0.00,0.00
2010-08-23,432.39,432.39,432.39,432.39,0.00,0.00,0.00
